EDAD;GENERO;ESTRATO_VIVIENDA;NIVEL_EDUCATIVO;TIPO_AREA_VIVIENDA;SEGMENTO_PLAN;MIN_LLAMADAS_SEM;MIN_REDES_SOC_SEM;MIN_WEB_SEM;DIAS_PAGO_FACT;VECES_LLAM_COMPETENCIA;MESES_SUSCRITO;NUM_INTERRUPCIONES;DUR_INTERRUPCIONES;SUSCRIP_STREAMING;RIESGO_CANCELACION
27;hombre;6;secundaria;urbana;basico;608;1216;1324;56;280;83;7;305;no;si
70;hombre;2;secundaria;urbana;basico;101;1161;933;19;232;23;8;253;no;no
68;hombre;1;secundaria;urbana;basico;937;1997;843;32;131;19;9;443;si;no
20;hombre;4;primaria;rural;premium;764;579;1138;60;139;71;9;347;si;no
16;hombre;6;educacion superior;rural;premium;630;1929;321;32;297;43;5;208;no;si
44;mujer;1;primaria;rural;premium;885;599;18;54;124;30;2;468;no;no
66;hombre;3;secundaria;urbana;premium;404;61;1236;14;219;90;4;391;no;no
30;hombre;4;primaria;urbana;premium;78;1702;970;21;28;30;5;406;si;no
21;hombre;2;educacion superior;rural;premium;114;548;840;53;60;18;1;262;si;no
25;hombre;6;primaria;urbana;medio;202;26;1264;22;146;23;8;50;no;si
51;mujer;4;secundaria;rural;basico;992;380;127;42;270;29;5;280;no;si
79;hombre;5;educacion superior;urbana;basico;343;44;336;23;103;74;5;157;no;no
77;hombre;3;secundaria;rural;premium;250;1145;93;21;93;50;4;409;no;si
40;hombre;6;educacion superior;urbana;premium;193;834;659;51;24;87;4;256;no;no
23;mujer;5;educacion superior;rural;basico;641;269;410;53;287;100;8;315;no;no
50;hombre;1;primaria;rural;premium;152;1738;676;48;214;118;1;270;no;no
22;mujer;1;educacion superior;rural;medio;260;320;777;30;171;50;8;441;no;si
21;hombre;2;primaria;rural;basico;903;341;1430;7;3;112;2;157;si;no
70;hombre;4;primaria;urbana;premium;974;462;651;1;24;106;6;49;no;no
50;hombre;5;educacion superior;rural;premium;242;1941;1111;52;124;117;5;377;no;si
44;mujer;3;secundaria;urbana;premium;358;124;1191;36;170;6;6;190;no;si
59;hombre;3;secundaria;rural;premium;565;304;1360;38;202;48;5;359;no;si
41;hombre;1;educacion superior;urbana;medio;298;658;1467;20;285;57;7;111;si;no
34;hombre;4;primaria;urbana;medio;430;668;1171;39;57;95;3;499;no;si
46;hombre;4;secundaria;urbana;basico;446;31;1049;54;216;21;6;78;no;no
78;hombre;5;educacion superior;rural;basico;487;1517;1250;11;210;116;3;20;si;no
23;hombre;5;educacion superior;urbana;medio;899;733;51;55;132;19;5;322;no;si
52;hombre;2;secundaria;rural;basico;592;704;499;43;187;99;8;82;no;si
52;hombre;4;educacion superior;urbana;medio;491;1851;891;39;187;73;4;285;no;no
39;hombre;6;secundaria;urbana;medio;290;1192;1123;38;294;41;4;412;no;si
79;hombre;2;educacion superior;rural;medio;245;1940;970;58;227;7;5;473;no;si
21;mujer;3;secundaria;rural;premium;898;1484;71;13;202;72;4;177;si;no
41;mujer;2;primaria;rural;basico;772;7;868;56;257;109;6;247;no;si
79;hombre;1;secundaria;urbana;medio;759;401;310;1;254;94;5;349;si;no
53;hombre;3;primaria;urbana;premium;719;1338;1447;24;81;16;10;88;no;si
65;hombre;2;educacion superior;urbana;basico;696;1194;683;4;166;2;3;389;no;no
38;hombre;3;primaria;rural;basico;115;633;86;49;21;9;10;31;si;no
53;mujer;5;secundaria;rural;medio;79;682;324;33;227;17;3;60;no;si
55;hombre;1;primaria;urbana;basico;9;1792;114;45;60;95;5;291;no;si
49;mujer;5;secundaria;urbana;basico;783;1326;1064;26;147;51;5;215;no;si
38;hombre;4;primaria;rural;premium;74;1878;856;32;160;27;5;265;no;si
65;mujer;3;primaria;urbana;premium;909;369;1336;23;119;37;6;251;no;no
73;hombre;6;secundaria;rural;premium;975;1934;786;30;185;5;9;81;no;si
43;mujer;1;primaria;urbana;premium;35;204;748;38;143;34;0;93;si;no
58;hombre;4;primaria;rural;premium;667;519;714;53;253;24;0;398;no;no
17;hombre;2;primaria;urbana;premium;268;1478;1106;35;133;35;1;162;no;no
48;hombre;1;secundaria;rural;basico;130;535;1462;27;250;55;7;270;no;si
59;hombre;4;secundaria;rural;basico;858;564;1153;59;153;9;7;165;no;si
36;mujer;6;educacion superior;urbana;premium;132;1542;962;17;14;21;0;383;no;no
50;mujer;5;primaria;rural;basico;544;1062;783;11;179;42;0;94;si;no
40;hombre;5;educacion superior;rural;medio;436;1284;374;23;170;18;5;183;no;si
38;hombre;2;primaria;rural;medio;748;1545;766;28;229;107;5;397;no;si
47;hombre;4;secundaria;rural;medio;940;1080;1230;39;70;70;4;210;no;si
28;hombre;5;educacion superior;rural;basico;865;1768;487;7;49;61;8;368;si;no
74;hombre;6;educacion superior;urbana;medio;883;1517;996;2;282;100;9;482;no;no
70;hombre;6;primaria;urbana;medio;148;1025;45;44;298;45;3;252;no;si
54;hombre;6;educacion superior;rural;premium;529;878;235;15;283;69;5;328;no;si
69;hombre;2;secundaria;urbana;medio;234;217;493;17;300;107;9;376;no;si
25;hombre;6;secundaria;urbana;medio;497;591;1032;36;184;111;7;166;no;si
60;hombre;3;primaria;urbana;premium;305;539;1258;59;77;62;3;131;no;si
39;hombre;2;primaria;urbana;basico;314;1283;1347;50;157;7;0;327;si;no
78;hombre;5;primaria;urbana;premium;490;13;1246;26;202;63;1;318;no;no
37;mujer;3;primaria;rural;basico;903;1391;204;60;270;32;8;366;no;si
36;hombre;6;secundaria;urbana;premium;169;967;823;4;114;40;5;464;no;no
40;mujer;2;secundaria;urbana;medio;835;1464;1465;12;104;30;6;2;no;no
26;mujer;5;secundaria;urbana;basico;12;534;976;25;221;65;10;332;no;si
28;mujer;3;secundaria;urbana;premium;660;987;595;22;274;32;5;172;no;si
41;hombre;5;secundaria;urbana;premium;314;86;1383;0;241;60;4;178;si;no
56;hombre;2;primaria;rural;basico;431;1106;652;21;100;15;7;233;no;si
36;mujer;3;educacion superior;urbana;basico;429;729;570;1;76;34;2;115;si;no
31;hombre;5;educacion superior;urbana;premium;416;1355;212;37;232;14;10;419;si;no
71;hombre;4;primaria;urbana;premium;863;1097;1232;37;37;31;2;32;no;no
57;hombre;5;primaria;rural;medio;102;349;378;36;85;27;3;215;no;si
48;hombre;6;secundaria;urbana;medio;820;990;963;46;119;46;8;38;no;no
50;hombre;3;educacion superior;urbana;medio;419;1728;377;20;195;76;8;216;no;si
57;hombre;2;secundaria;rural;premium;347;1720;1432;24;107;27;6;66;no;si
79;mujer;5;primaria;urbana;medio;993;1031;953;21;139;6;2;411;si;no
47;mujer;4;secundaria;urbana;premium;712;1644;1439;32;40;60;4;17;no;no
21;hombre;3;secundaria;urbana;medio;953;1332;1086;60;142;114;7;389;si;no
63;mujer;1;primaria;urbana;medio;258;1188;982;48;118;50;10;465;no;si
46;hombre;3;primaria;rural;basico;595;365;1203;3;106;64;5;396;si;no
50;mujer;1;educacion superior;rural;basico;734;1890;799;45;152;102;9;435;no;si
39;hombre;4;secundaria;urbana;premium;970;1182;199;32;191;51;10;457;no;no
46;hombre;5;primaria;rural;medio;44;1111;1475;14;79;8;9;230;si;no
26;mujer;2;secundaria;urbana;premium;595;1208;18;9;48;74;9;57;no;no
34;hombre;2;secundaria;rural;medio;214;1622;118;50;77;7;10;67;no;no
49;mujer;5;primaria;rural;premium;636;1976;807;57;107;70;10;82;si;no
16;hombre;5;educacion superior;urbana;medio;83;1128;665;41;121;85;10;345;no;si
16;hombre;1;secundaria;urbana;premium;297;1888;685;50;104;18;5;228;no;si
64;hombre;5;educacion superior;urbana;premium;279;1814;910;54;19;111;7;130;no;no
46;hombre;5;secundaria;urbana;premium;124;1679;1017;50;278;108;9;62;si;no
37;mujer;1;educacion superior;urbana;premium;597;1371;1134;56;198;15;10;81;no;si
25;hombre;1;primaria;rural;medio;814;1213;683;45;256;86;9;401;si;no
59;mujer;1;educacion superior;rural;medio;990;1049;1410;54;112;93;7;411;si;no
72;hombre;6;primaria;rural;basico;618;1422;515;36;286;52;8;447;no;si
37;hombre;3;primaria;urbana;premium;727;950;452;57;262;95;3;177;si;no
19;hombre;3;primaria;urbana;medio;570;1884;1049;49;132;60;8;86;no;no
43;mujer;5;educacion superior;rural;basico;858;1431;148;29;189;111;7;497;no;si
39;mujer;3;educacion superior;rural;medio;51;131;1349;22;78;118;7;272;no;si
70;mujer;6;primaria;rural;basico;327;1475;1125;26;252;88;8;50;no;si
78;hombre;4;secundaria;urbana;premium;688;1066;208;49;156;14;7;378;no;si
38;hombre;2;primaria;urbana;medio;82;940;809;8;105;49;9;62;si;no
37;mujer;2;secundaria;urbana;premium;810;997;705;11;288;74;4;40;si;no
35;mujer;3;educacion superior;rural;premium;190;432;250;34;282;22;10;177;no;no
26;hombre;5;educacion superior;rural;medio;793;148;51;32;290;108;0;118;no;no
42;hombre;6;educacion superior;urbana;medio;360;434;894;6;260;114;4;157;no;no
16;mujer;5;educacion superior;urbana;premium;184;1447;101;6;65;13;9;346;si;no
21;mujer;3;educacion superior;urbana;basico;542;733;829;34;93;82;4;280;no;si
73;hombre;6;educacion superior;rural;basico;534;823;663;57;71;5;3;436;si;no
47;hombre;2;secundaria;urbana;basico;90;814;515;32;85;64;4;123;no;si
29;hombre;1;educacion superior;urbana;basico;513;114;554;3;187;56;2;474;si;no
37;hombre;3;educacion superior;urbana;medio;75;1581;496;22;3;45;10;445;no;no
29;mujer;4;educacion superior;urbana;basico;108;1801;339;17;271;103;9;60;no;no
57;mujer;6;primaria;rural;basico;275;774;1430;53;148;87;0;59;si;no
76;mujer;2;primaria;rural;basico;957;30;202;39;252;89;2;270;si;no
42;mujer;4;primaria;rural;premium;821;1863;503;58;268;62;8;420;no;si
78;mujer;3;primaria;urbana;medio;317;510;191;36;278;39;8;184;no;no
46;hombre;4;educacion superior;urbana;medio;345;1862;1264;53;249;78;8;162;si;no
18;hombre;1;secundaria;urbana;medio;716;1359;1415;19;260;15;10;458;no;si
22;hombre;2;educacion superior;urbana;medio;926;863;18;37;212;3;3;177;si;no
42;mujer;5;secundaria;rural;medio;263;417;1087;42;213;103;6;353;no;si
59;hombre;5;educacion superior;urbana;premium;695;588;1269;41;105;35;3;398;si;no
37;mujer;2;educacion superior;rural;basico;905;1563;1094;48;294;61;7;476;no;si
51;mujer;1;primaria;urbana;medio;328;1922;214;27;188;69;9;284;no;si
29;mujer;6;primaria;urbana;premium;978;1319;150;38;233;70;3;388;no;si
49;hombre;3;educacion superior;rural;basico;553;1148;644;22;277;93;6;473;no;si
75;hombre;1;educacion superior;rural;premium;673;767;1446;28;181;58;2;228;si;no
51;mujer;1;secundaria;urbana;premium;343;1708;184;12;169;114;1;153;no;no
26;hombre;1;secundaria;urbana;medio;31;737;351;34;193;16;5;261;si;no
58;mujer;4;primaria;urbana;medio;84;1237;805;17;76;24;0;251;si;no
57;mujer;3;educacion superior;urbana;premium;962;205;1406;60;259;70;5;436;no;si
75;hombre;3;educacion superior;rural;basico;466;907;1124;34;124;98;9;374;no;no
57;hombre;4;secundaria;urbana;medio;175;301;109;48;246;21;8;428;si;no
36;mujer;3;primaria;urbana;basico;863;619;4;32;186;15;0;185;si;no
69;hombre;1;primaria;rural;basico;173;1752;204;20;236;82;9;197;no;si
37;mujer;1;educacion superior;rural;basico;644;1443;1446;60;184;82;4;101;no;si
36;mujer;3;primaria;rural;basico;31;1968;1436;43;275;89;7;78;no;si
62;hombre;2;educacion superior;urbana;basico;836;251;1207;33;144;113;10;77;no;si
80;hombre;2;primaria;rural;basico;685;1303;1141;47;193;28;8;176;no;no
22;mujer;6;primaria;urbana;medio;898;1800;200;38;157;81;5;165;no;si
52;hombre;3;educacion superior;urbana;medio;91;996;802;23;62;112;1;172;no;no
27;hombre;6;primaria;rural;premium;876;1963;607;6;35;40;6;197;no;no
79;hombre;1;primaria;urbana;medio;812;560;432;9;43;45;9;230;no;no
65;hombre;6;primaria;rural;premium;419;1554;416;20;85;33;10;101;no;si
73;mujer;4;educacion superior;urbana;basico;429;1182;224;2;206;17;2;487;no;no
37;hombre;2;educacion superior;rural;premium;40;542;423;5;267;50;5;35;no;no
19;hombre;5;educacion superior;rural;premium;754;1070;648;1;25;6;4;84;no;no
69;hombre;4;educacion superior;urbana;medio;487;603;636;38;181;117;4;317;no;si
73;hombre;2;educacion superior;urbana;premium;760;178;1025;43;79;62;4;468;no;si
40;hombre;1;primaria;urbana;basico;4;915;130;44;160;4;2;314;si;no
49;hombre;2;educacion superior;rural;premium;166;321;1193;15;257;64;10;396;no;si
55;hombre;3;primaria;rural;premium;708;1730;1252;7;13;69;6;110;no;no
17;mujer;4;secundaria;urbana;medio;973;723;1211;59;297;16;4;333;si;no
66;hombre;5;secundaria;urbana;basico;918;889;686;13;47;112;2;464;no;no
50;hombre;6;educacion superior;urbana;medio;88;1637;802;19;244;23;5;321;no;no
42;hombre;2;educacion superior;urbana;medio;738;1269;1161;36;92;34;4;253;no;si
73;hombre;6;educacion superior;rural;premium;422;753;608;29;177;92;2;187;si;no
45;mujer;3;secundaria;urbana;premium;766;1082;187;44;195;111;8;223;no;si
73;hombre;4;educacion superior;urbana;medio;772;412;565;59;299;102;4;312;no;si
25;hombre;2;secundaria;urbana;premium;251;637;1269;19;263;120;5;335;no;si
29;mujer;3;educacion superior;rural;basico;865;1902;385;25;200;74;9;224;no;no
72;hombre;1;secundaria;rural;basico;213;283;954;42;74;18;5;472;si;no
35;hombre;2;primaria;urbana;basico;301;489;15;35;279;22;8;433;no;si
63;hombre;2;primaria;urbana;medio;345;1002;244;3;263;73;2;92;si;no
72;hombre;4;educacion superior;rural;medio;328;436;28;21;253;78;7;303;no;si
78;hombre;1;primaria;urbana;medio;923;795;1157;19;130;55;4;122;no;si
63;hombre;4;primaria;rural;medio;407;17;537;49;187;29;3;281;no;si
62;mujer;4;secundaria;urbana;basico;221;1960;1442;56;183;89;8;150;no;si
53;hombre;6;secundaria;urbana;medio;486;800;225;37;286;21;10;197;no;si
69;hombre;2;primaria;urbana;medio;272;1748;498;42;114;117;9;234;no;no
17;hombre;5;secundaria;rural;medio;410;392;1206;52;108;61;9;424;no;si
74;mujer;4;educacion superior;urbana;medio;649;1744;600;39;208;62;3;93;no;si
61;hombre;6;primaria;urbana;basico;95;377;29;20;296;51;8;178;no;si
79;mujer;4;educacion superior;urbana;premium;146;608;1223;19;153;27;9;368;no;no
45;hombre;5;secundaria;rural;medio;433;1726;905;26;80;103;8;435;no;si
49;hombre;1;secundaria;urbana;medio;274;493;336;12;92;41;9;407;no;no
37;hombre;1;primaria;urbana;basico;226;1573;1277;48;135;120;10;111;no;si
64;hombre;3;educacion superior;rural;basico;931;1753;1415;36;31;71;0;143;no;no
80;mujer;3;primaria;rural;basico;245;175;423;36;199;30;10;107;no;si
58;mujer;1;primaria;urbana;basico;595;1583;816;43;155;89;0;196;si;no
37;mujer;6;primaria;urbana;basico;596;1420;1123;52;188;62;7;315;no;no
17;hombre;2;secundaria;rural;medio;283;350;483;39;228;50;7;453;si;no
49;hombre;6;secundaria;urbana;basico;283;290;1214;48;255;116;2;450;no;no
45;mujer;1;educacion superior;urbana;premium;378;86;570;26;279;42;4;481;no;si
69;hombre;3;educacion superior;urbana;medio;351;1917;174;20;52;79;6;297;no;si
69;mujer;3;educacion superior;urbana;basico;238;216;1268;30;78;104;3;0;no;no
51;hombre;2;primaria;urbana;premium;32;1274;1323;45;166;95;6;209;si;no
23;hombre;5;secundaria;urbana;medio;63;1798;1283;28;122;102;10;479;si;no
50;hombre;1;primaria;rural;basico;929;791;63;24;265;112;3;371;no;si
24;hombre;2;educacion superior;urbana;basico;285;885;1188;32;218;40;8;280;no;si
66;hombre;2;educacion superior;rural;basico;953;1130;18;0;218;108;10;273;si;no
76;hombre;6;primaria;rural;basico;224;89;1446;13;134;67;3;30;no;no
34;mujer;2;educacion superior;rural;medio;498;1073;153;32;238;103;8;237;no;si
30;hombre;6;educacion superior;rural;premium;70;1211;494;27;121;28;4;374;no;si
52;mujer;5;primaria;rural;premium;585;1848;114;54;237;9;3;237;no;si
41;mujer;4;educacion superior;rural;premium;746;409;1299;21;117;113;6;500;no;si
67;mujer;5;educacion superior;rural;premium;407;1757;484;32;294;31;6;483;no;si
77;hombre;4;primaria;urbana;medio;171;1474;1011;32;200;66;3;114;no;si
17;mujer;3;primaria;rural;medio;686;1319;1174;10;271;62;1;158;si;no
79;mujer;6;secundaria;urbana;medio;119;1333;896;60;196;12;2;495;no;no
58;hombre;2;educacion superior;rural;basico;618;1089;1072;47;166;75;9;134;no;si
38;hombre;6;educacion superior;rural;premium;694;331;1429;42;113;27;1;151;no;no
31;hombre;1;primaria;urbana;medio;438;1430;613;51;174;2;4;52;no;si
24;hombre;1;educacion superior;rural;premium;232;969;560;4;165;119;5;58;no;no
57;hombre;3;secundaria;rural;medio;223;1582;838;8;109;15;5;471;si;no
79;mujer;6;primaria;urbana;medio;385;1392;546;41;275;21;7;243;no;si
22;hombre;1;secundaria;urbana;premium;741;1732;1379;7;200;27;8;149;no;no
34;hombre;5;secundaria;urbana;medio;439;234;409;18;265;79;0;123;no;no
65;hombre;5;educacion superior;rural;medio;590;604;855;31;69;30;7;287;no;si
71;hombre;5;primaria;rural;basico;151;98;176;56;256;52;6;379;no;si
51;mujer;5;primaria;urbana;premium;903;260;436;53;208;69;7;411;no;si
53;hombre;1;secundaria;rural;medio;154;1642;1364;52;171;114;5;286;no;si
59;mujer;5;primaria;urbana;basico;664;1237;1046;37;213;50;10;443;no;si
54;hombre;6;primaria;urbana;premium;882;464;975;35;281;119;7;81;no;si
71;hombre;6;primaria;rural;premium;121;769;549;39;141;19;8;16;si;no
71;hombre;3;primaria;urbana;basico;909;1789;730;58;270;84;7;313;no;si
19;hombre;4;primaria;urbana;medio;302;1277;10;42;90;94;9;362;no;si
64;mujer;4;secundaria;urbana;medio;372;763;1259;50;193;112;8;188;no;no
47;hombre;2;primaria;urbana;medio;194;601;991;43;78;40;4;282;no;si
31;mujer;6;secundaria;rural;medio;549;46;1006;32;64;37;10;25;no;no
27;hombre;3;secundaria;rural;premium;592;230;310;23;194;39;0;418;no;no
58;mujer;6;educacion superior;urbana;medio;414;1157;1359;6;287;99;2;386;si;no
66;hombre;4;educacion superior;rural;premium;34;590;113;49;131;5;2;455;no;no
66;mujer;2;educacion superior;urbana;basico;295;131;324;18;256;9;6;426;si;no
16;hombre;5;secundaria;rural;basico;532;1664;1218;44;88;54;3;433;no;si
58;mujer;4;secundaria;rural;basico;504;309;354;43;50;77;9;56;no;no
72;hombre;4;secundaria;urbana;medio;758;1298;718;58;217;72;10;277;no;no
58;hombre;5;educacion superior;rural;premium;626;879;1228;51;234;71;8;150;no;si
44;hombre;1;primaria;rural;premium;562;706;304;2;215;15;4;178;si;no
54;hombre;6;educacion superior;rural;premium;277;1413;1218;33;297;100;4;162;no;si
60;hombre;1;primaria;rural;medio;264;329;1243;1;7;67;3;359;si;no
68;hombre;5;secundaria;urbana;premium;317;1492;1384;40;26;18;3;204;si;no
74;mujer;4;secundaria;rural;premium;256;641;861;41;148;65;10;377;si;no
46;mujer;4;educacion superior;rural;premium;975;1091;923;27;241;50;4;238;no;si
62;mujer;5;secundaria;urbana;medio;88;1361;568;17;89;63;4;218;no;no
71;hombre;4;secundaria;urbana;medio;520;101;1013;8;226;7;5;453;si;no
55;hombre;4;primaria;urbana;medio;78;1353;622;22;137;17;4;382;no;no
37;mujer;4;educacion superior;rural;premium;894;1090;1065;38;139;102;7;230;si;no
68;mujer;3;secundaria;urbana;medio;877;523;996;52;183;51;9;478;no;no
42;hombre;3;educacion superior;rural;premium;534;784;279;36;166;22;8;314;no;si
30;hombre;3;secundaria;urbana;premium;90;1905;389;22;171;63;7;418;si;no
66;mujer;1;educacion superior;urbana;premium;534;258;1019;22;148;57;7;169;no;si
36;mujer;1;secundaria;urbana;basico;429;339;749;42;53;65;10;79;no;si
71;mujer;4;secundaria;rural;medio;20;601;329;22;156;37;8;134;si;no
43;hombre;5;primaria;urbana;medio;114;1848;223;21;82;32;3;138;si;no
38;hombre;3;educacion superior;rural;premium;295;311;811;35;211;49;5;406;si;no
46;mujer;4;secundaria;rural;basico;893;389;728;40;102;62;0;272;no;no
16;hombre;3;educacion superior;rural;medio;547;1527;779;30;228;45;3;53;no;si
51;mujer;4;secundaria;rural;medio;650;1243;488;28;57;75;3;62;no;si
40;hombre;5;secundaria;rural;medio;385;247;840;25;234;75;8;389;no;si
16;hombre;6;primaria;urbana;premium;940;1663;608;12;243;62;0;136;si;no
39;hombre;2;secundaria;urbana;premium;777;987;132;6;112;79;8;54;no;no
40;hombre;2;secundaria;rural;medio;284;1810;1037;1;223;4;5;438;no;no
44;hombre;4;educacion superior;rural;premium;634;394;377;29;102;49;8;468;si;no
64;hombre;3;primaria;urbana;premium;870;1555;108;51;182;54;8;463;si;no
80;hombre;1;primaria;rural;medio;936;1564;1488;30;84;120;9;84;no;si
51;hombre;6;secundaria;rural;basico;955;196;373;35;125;74;0;119;no;no
51;mujer;2;primaria;rural;medio;639;579;1301;49;216;59;2;201;si;no
42;mujer;3;educacion superior;urbana;basico;419;1472;230;46;206;45;6;389;no;si
60;mujer;6;educacion superior;rural;basico;300;67;574;52;225;112;7;130;no;si
60;hombre;4;educacion superior;rural;basico;559;922;753;29;152;56;9;92;no;no
49;mujer;1;secundaria;rural;medio;931;603;1167;53;234;4;3;155;no;si
41;hombre;6;educacion superior;urbana;premium;603;1558;1049;1;97;24;3;63;no;no
33;hombre;1;primaria;urbana;premium;404;634;926;20;298;39;6;477;no;si
17;mujer;5;secundaria;urbana;medio;388;1040;651;52;67;96;10;161;si;no
22;hombre;3;educacion superior;urbana;basico;607;1860;203;4;135;61;0;399;no;no
35;hombre;3;secundaria;rural;medio;869;198;518;35;175;11;3;314;si;no
36;mujer;5;secundaria;urbana;medio;862;366;313;29;117;34;5;408;no;si
21;hombre;2;educacion superior;rural;premium;697;603;620;26;141;66;9;83;no;si
17;hombre;3;secundaria;urbana;premium;55;1730;821;32;121;33;0;205;no;no
55;hombre;1;educacion superior;urbana;medio;616;175;595;43;19;4;1;21;no;no
46;hombre;3;secundaria;urbana;premium;259;791;284;52;181;31;6;165;no;si
25;hombre;5;primaria;urbana;premium;165;511;374;55;284;70;4;149;no;si
75;hombre;3;secundaria;urbana;premium;36;126;1119;47;90;17;7;477;no;si
39;hombre;3;educacion superior;urbana;basico;738;1658;1099;31;133;118;10;197;no;no
71;hombre;4;secundaria;urbana;basico;968;883;178;38;64;32;8;291;no;si
40;hombre;5;secundaria;rural;medio;612;426;1447;58;224;19;3;293;no;si
21;hombre;1;secundaria;rural;basico;814;79;273;26;169;81;6;293;no;si
61;mujer;6;educacion superior;urbana;premium;630;1574;495;47;226;36;0;69;si;no
77;mujer;5;secundaria;rural;premium;314;847;969;44;216;14;8;435;no;si
57;hombre;2;secundaria;rural;basico;354;1540;755;31;206;63;10;352;no;si
76;hombre;6;secundaria;urbana;premium;125;1230;384;50;289;6;10;91;no;si
43;hombre;2;secundaria;rural;medio;832;473;847;15;246;72;10;433;si;no
18;mujer;6;primaria;rural;premium;30;1123;1148;58;20;1;8;212;no;no
24;hombre;4;primaria;rural;basico;452;1920;319;22;9;12;10;317;no;no
63;hombre;4;educacion superior;rural;premium;467;1508;1395;4;128;87;10;351;si;no
20;mujer;2;educacion superior;rural;basico;720;1714;302;36;197;90;7;165;no;no
28;mujer;4;primaria;urbana;medio;773;1660;1215;51;123;10;9;234;no;si
27;hombre;2;educacion superior;rural;premium;419;1835;1048;32;65;59;0;307;no;no
44;hombre;2;primaria;rural;basico;420;200;866;14;105;49;2;191;no;no
36;mujer;1;secundaria;rural;basico;979;157;790;18;158;89;7;219;no;si
